username_names,project_urls,stars
bregman-arie,https://github.com/bregman-arie/devops-exercises,43277
pulumi,https://github.com/pulumi/pulumi,16022
microsoft,https://github.com/microsoft/recommenders,15691
ramitsurana,https://github.com/ramitsurana/awesome-kubernetes,13894
Azure,https://github.com/Azure/azure-quickstart-templates,12953
mozilla,https://github.com/mozilla/sops,12914
caprover,https://github.com/caprover/caprover,10413
infracost,https://github.com/infracost/infracost,9073
google,https://github.com/google/go-cloud,9023
microsoft,https://github.com/microsoft/computervision-recipes,8955
prowler-cloud,https://github.com/prowler-cloud/prowler,8122
microsoft,https://github.com/microsoft/azuredatastudio,7135
Netflix,https://github.com/Netflix/metaflow,6658
node-formidable,https://github.com/node-formidable/formidable,6643
midwayjs,https://github.com/midwayjs/midway,6623
thangchung,https://github.com/thangchung/clean-code-dotnet,6064
aquasecurity,https://github.com/aquasecurity/tfsec,5880
budtmo,https://github.com/budtmo/docker-android,5686
bridgecrewio,https://github.com/bridgecrewio/checkov,5570
nccgroup,https://github.com/nccgroup/ScoutSuite,5354
